name,model_size,buffer_type,acc_new,f1_new,precision_new,recall_new,acc_all,f1_all,precision_all,recall_all,acc_base,f1_base,precision_base,recall_base,training_time,buffer_length,buffer_memory
standalone_bert+bigru,1558.7270212173462,unlimit,0.8742857142857142,0.517131428165966,0.5473414591061649,0.4972321428571428,0.9809265010351966,0.8456562903050849,0.8440919113872793,0.8487220518936566,1.0217391304347825,1.043794336384439,1.0442857142857145,1.0437499999999995,30.05047369003296,2449.25,459.3651790618897
standalone_bert+bilstm,1564.7387399673462,unlimit,0.8785714285714286,0.5444318396672339,0.5535395976572447,0.5416369047619047,0.9925213675213675,0.8379516691328133,0.8811645513983296,0.7979612771859883,1.0,0.9836734571313476,1.0585885111620406,0.9166666666666669,30.77574574947357,2449.25,459.3651790618897
standalone_bert+textcnn,1543.2138929367063,unlimit,0.8685714285714285,0.5282405210146074,0.5344148724082936,0.5284226190476191,0.9770569620253166,0.8183377294206499,0.82702337742207,0.8105927875582724,1.004746835443038,1.000250252642504,1.0484085285516886,0.9573170731707318,27.927297949790955,2449.25,459.3651790618897
standalone_bert+textcnn,1543.2138929367063,no_buffer,0.8714285714285714,0.5165154489040767,0.553959928959929,0.4959226190476191,0.9780327004219408,0.8040066069028698,0.8492371986052512,0.7661780718124531,1.004746835443038,0.9932088302929928,1.0823036476602224,0.9207317073170732,16.589013278484344,0.0,0.0
standalone_bert+bigru,1558.7270212173462,no_buffer,0.8757142857142857,0.4708092087124345,0.5653679653679653,0.4147023809523809,0.9703674948240164,0.7788577617901755,0.8553984170690416,0.7304143585787388,0.9906832298136644,0.9721027897784722,1.0266969507101087,0.93125,22.769209384918213,0.0,0.0
standalone_bert+textcnn,1543.2138929367063,limit,0.8699999999999999,0.4929368366514966,0.5507177033492823,0.4631101190476191,0.9744725738396623,0.765619992165136,0.8662205921433148,0.7096546835621379,0.9841772151898734,0.9304168517750208,1.0750394433954944,0.8475609756097562,37.2160621881485,512.0,96.02734375
standalone_bert+bigru,1558.7270212173462,remind,0.8671428571428572,0.4483863837312113,0.5362373737373738,0.3997023809523809,0.9681418219461696,0.7645408288281369,0.8483020770869796,0.7261536340868122,0.982919254658385,0.9472068244395674,1.020954385329061,0.90625,40.2048744559288,512.0,48.04302215576172
standalone_bert+bilstm,1564.7387399673462,no_buffer,0.8628571428571428,0.4330680813439434,0.5007349032116835,0.3956696428571428,0.9824519230769232,0.7567182798464274,0.8952433534292615,0.660277443615709,0.9903846153846154,0.9437050969564956,1.1066789575887082,0.8214285714285715,22.31396287679672,0.0,0.0
standalone_bert+textcnn,1543.2138929367063,remind,0.8600000000000001,0.4147262747363859,0.5917065390749601,0.398422619047619,0.9722573839662448,0.7520365770950831,0.8613760193074194,0.7085400252029938,0.9984177215189872,0.9759508189112486,1.0709386990595935,0.9085365853658536,44.74042719602585,512.0,48.04302215576172
standalone_bert+bilstm,1564.7387399673462,limit,0.8814285714285715,0.5362637362637364,0.5809929234851836,0.5009821428571428,0.979647435897436,0.7427597733124297,0.8906209172153661,0.6360613205137191,0.9455128205128204,0.8074601739285249,1.0543799784871213,0.6607142857142857,30.893826007843018,512.0,96.02734375
multimodal_bert+bigru_None+MLP,1037.6699647903442,unlimit,0.8785714285714286,0.4873768472906403,0.6124665775401069,0.4286160714285714,0.9875270562770564,0.7367728523738828,0.9505384191303362,0.6172594122158181,0.9724025974025974,0.858754898214178,1.152957053109492,0.6890243902439025,31.386627435684204,2449.25,459.5520420074463
standalone_bert+bigru,1558.7270212173462,limit,0.8828571428571429,0.4992655210643015,0.5949656750572082,0.4347619047619048,0.9596532091097308,0.7336625185268599,0.8120700061334483,0.6858772025954104,0.9611801242236024,0.8906819308261033,1.0037221088284918,0.825,29.667890906333923,512.0,96.02734375
